Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8,,,
6843792,00000023,FALSE,Rx,0,5,24,7A,BC,00,A4,00,00,00,,,
6893957,0000001B,FALSE,Rx,0,3,27,FF,D8,00,00,00,00,00,,,
6923833,00000023,FALSE,Rx,0,5,27,EE,BD,00,2C,00,00,00,,,
6973964,0000001B,FALSE,Rx,0,3,B1,FF,4E,00,00,00,00,00,,,
7003888,00000023,FALSE,Rx,0,5,B1,80,7F,04,4A,00,00,00,,,
7053892,0000001B,FALSE,Rx,0,3,21,FF,DE,00,00,00,00,00,,,
7083840,00000023,FALSE,Rx,0,5,21,C0,C1,00,5C,00,00,00,,,
7133893,0000001B,FALSE,Rx,0,3,22,FF,DD,00,00,00,00,00,,,
7163959,00000023,FALSE,Rx,0,5,22,8A,BD,00,95,00,00,00,,,
7213940,0000001B,FALSE,Rx,0,3,23,FF,DC,00,00,00,00,00,,,
7243863,00000023,FALSE,Rx,0,5,23,E6,C2,00,33,00,00,00,,,
7294132,0000001B,FALSE,Rx,0,3,25,FF,DA,00,00,00,00,00,,,
7323800,00000023,FALSE,Rx,0,5,25,CD,BD,00,4F,00,00,00,,,
7373868,0000001B,FALSE,Rx,0,3,26,FF,D9,00,00,00,00,00,,,
7403895,00000023,FALSE,Rx,0,5,26,4E,BD,00,CD,00,00,00,,,
7453899,0000001B,FALSE,Rx,0,3,28,FF,D7,00,00,00,00,00,,,
7483863,00000023,FALSE,Rx,0,5,28,CF,C2,00,45,00,00,00,,,
7533980,0000001B,FALSE,Rx,0,3,24,FF,DB,00,00,00,00,00,,,
7563879,00000023,FALSE,Rx,0,5,24,27,BD,00,F6,00,00,00,,,
7613963,0000001B,FALSE,Rx,0,3,27,FF,D8,00,00,00,00,00,,,
7643863,00000023,FALSE,Rx,0,5,27,EE,BD,00,2C,00,00,00,,,
7694004,0000001B,FALSE,Rx,0,3,B1,FF,4E,00,00,00,00,00,,,
7723951,00000023,FALSE,Rx,0,5,B1,80,7F,04,4A,00,00,00,,,
7773979,0000001B,FALSE,Rx,0,3,21,FF,DE,00,00,00,00,00,,,
7803902,00000023,FALSE,Rx,0,5,21,6D,C2,00,AE,00,00,00,,,
7853858,0000001B,FALSE,Rx,0,3,22,FF,DD,00,00,00,00,00,,,
7883966,00000023,FALSE,Rx,0,5,22,8A,BD,00,95,00,00,00,,,
7933931,0000001B,FALSE,Rx,0,3,23,FF,DC,00,00,00,00,00,,,
7963981,00000023,FALSE,Rx,0,5,23,E6,C2,00,33,00,00,00,,,
8014129,0000001B,FALSE,Rx,0,3,25,FF,DA,00,00,00,00,00,,,
8043987,00000023,FALSE,Rx,0,5,25,20,BD,00,FC,00,00,00,,,
8094048,0000001B,FALSE,Rx,0,3,26,FF,D9,00,00,00,00,00,,,
8124011,00000023,FALSE,Rx,0,5,26,4E,BD,00,CD,00,00,00,,,
8173871,0000001B,FALSE,Rx,0,3,28,FF,D7,00,00,00,00,00,,,
8203820,00000023,FALSE,Rx,0,5,28,CF,C2,00,45,00,00,00,,,
8253904,0000001B,FALSE,Rx,0,3,24,FF,DB,00,00,00,00,00,,,
8283964,00000023,FALSE,Rx,0,5,24,D5,BD,00,48,00,00,00,,,
8333913,0000001B,FALSE,Rx,0,3,27,FF,D8,00,00,00,00,00,,,
8363917,00000023,FALSE,Rx,0,5,27,EE,BD,00,2C,00,00,00,,,
8414001,0000001B,FALSE,Rx,0,3,B1,FF,4E,00,00,00,00,00,,,
8443901,00000023,FALSE,Rx,0,5,B1,80,7F,04,4A,00,00,00,,,
8494146,0000001B,FALSE,Rx,0,3,21,FF,DE,00,00,00,00,00,,,
8523989,00000023,FALSE,Rx,0,5,21,AD,C2,00,6E,00,00,00,,,
8573985,0000001B,FALSE,Rx,0,3,22,FF,DD,00,00,00,00,00,,,
8603868,00000023,FALSE,Rx,0,5,22,8A,BD,00,95,00,00,00,,,
8653794,0000001B,FALSE,Rx,0,3,23,FF,DC,00,00,00,00,00,,,
8684005,00000023,FALSE,Rx,0,5,23,E6,C2,00,33,00,00,00,,,
8733978,0000001B,FALSE,Rx,0,3,25,FF,DA,00,00,00,00,00,,,
8763822,00000023,FALSE,Rx,0,5,25,1E,BD,00,FE,00,00,00,,,
8813995,0000001B,FALSE,Rx,0,3,26,FF,D9,00,00,00,00,00,,,
8843871,00000023,FALSE,Rx,0,5,26,4E,BD,00,CD,00,00,00,,,
8893996,0000001B,FALSE,Rx,0,3,28,FF,D7,00,00,00,00,00,,,
8923880,00000023,FALSE,Rx,0,5,28,CF,C2,00,45,00,00,00,,,
8973988,0000001B,FALSE,Rx,0,3,24,FF,DB,00,00,00,00,00,,,
9003840,00000023,FALSE,Rx,0,5,24,82,BE,00,9A,00,00,00,,,
9053925,0000001B,FALSE,Rx,0,3,27,FF,D8,00,00,00,00,00,,,
9084040,00000023,FALSE,Rx,0,5,27,EE,BD,00,2C,00,00,00,,,
9133853,0000001B,FALSE,Rx,0,3,B1,FF,4E,00,00,00,00,00,,,
